1.;Kalamaris;gebratener Tintenfisch mit grünem Salat und Cocktail-Sauce;6,00;Kalte und warme Vorspeisen;
2.;Meseplatte mit Gyros;gebratener Weißer Käse8, Dolmadakia, Auberginen, Bohnensalat, Zucchini, Zaziki, Kalamaris, Krautsalat und Oliven;12,50;Kalte und warme Vorspeisen;
3.;Zaziki;Joghurt mit Gurken und Knoblauch;4,00;Kalte und warme Vorspeisen;
4.;Auberginen;gebraten, mit Zaziki;5,00;Kalte und warme Vorspeisen;
5.;Dolmadakia;gefüllte Weinblätter mit Hackfleisch und Reis;6,00;Kalte und warme Vorspeisen;
6.;Auberginen und Zucchini;gebraten, mit Zaziki;6,00;Kalte und warme Vorspeisen;
7.;Weißer Käse;mit Tomaten, Oliven, Krautsalat, Peperoni und Zwiebeln;6,00;Kalte und warme Vorspeisen;
8.;Saganaki;gebratener Weißer-Käse mit Tomaten;6,00;Kalte und warme Vorspeisen;
9.;Saganaki;mit gebratener Peperoni (Spitzpaprika);8,00;Kalte und warme Vorspeisen;
10.;Champignonköpfe;paniert und gebraten, mit Zaziki;6,00;Kalte und warme Vorspeisen;
11.;Weinbergschnecken;mit Kräuterbutter und frischem Knoblauch;7,00;Kalte und warme Vorspeisen;
12.;Süß-gefüllte Paprika ;mit Weißem Käse;6,00;Kalte und warme Vorspeisen;
13.;Weißer Käse;mit Knoblauch aus dem Backofen;5,50;Kalte und warme Vorspeisen;
14.;Gebratene Peperoni (Spitzpaprika);lang und mild, mit Zaziki;6,00;Kalte und warme Vorspeisen;
15.;Mozzarella mit Tomaten;;5,50;Kalte und warme Vorspeisen;
16.;Muscheln;mit Tomatencreme und Weißem Käse;6,00;Kalte und warme Vorspeisen;
17.;Mesesplatte;mit Weißem Käse8, Dolmadakia, Auberginen, Bohnensalat, Zucchini, Kalamaris, Zaziki, Krautsalat und Oliven;9,50;Kalte und warme Vorspeisen;
18.;Kleine Mesesplatte;;8,00;Kalte und warme Vorspeisen;
19.;Mesesplatte;it gebratenem Weißen Käse;10,00;Kalte und warme Vorspeisen;
20.;Oliven und Peperoni;;3,50;Kalte und warme Vorspeisen;
21.;Knoblauchbrot;;2,00;Kalte und warme Vorspeisen;
22.;Frische Champignons;in der Pfanne gebraten, mit Knoblauchsauce;6,00;Vegetarische Gerichte;
23.;Frische Champignons;in der Pfanne gebraten, mit Rahmsahnesauce;6,00;Vegetarische Gerichte;
24.;Auberginen und Zucchini;gebraten, mit Zaziki8 und Knoblauch;6,50;Vegetarische Gerichte;
25.;Bunter vegetarischer Teller;gefüllte Teigröllchen, Zaziki8, Saganaki, Auberginen, Zucchini, Gemüse und Salatbeilage;10,00;Vegetarische Gerichte;
26.;Gemüsebratlinge;mit Spiegelei, Reis und Salatteller;7,00;Vegetarische Gerichte;
27.;Broccoli und Blumenkohl;Weißer Käse, mit Sauce und Käse8 überbacken;10,50;Vegetarische Gerichte;
28.;Bratkartoffeln;mit zwei Spiegeleier und Salatteller;7,00;Vegetarische Gerichte;
30.;Bohnensuppe;;4,00;Suppen;
31.;Tomatensuppe;;4,00;Suppen;
32.;Zwiebelsuppe;;4,00;Suppen;
33.;Hühnersuppe;;4,00;Suppen;
34.;Gulaschsuppe;;4,00;Suppen;
38.;3 Scampi;gebraten, mit grünem Salat und Cocktailsauce;9,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
39.;Eisbergsalat mit Joghurt-Dressing;;3,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
40.;Krautsalat;;2,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
41.;Tomaten-Gurkensalat;;4,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
42.;Weißer Bohnensalat;;3,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
43.;Gemischter grüner Salat;;4,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
44.;Bauernsalat;Tomaten, Krautsalat, Gurken, Oliven, Peperoni, Weißer Käse und Zwiebeln;8,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
45.;Kleiner Bauernsalat;;6,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
46.;Thunfischsalat;grüner Salat, Ei, Tomaten, Gurken, Peperoni, Oliven und Thunfisch;8,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
47.;Kleiner Thunfischsalat;;6,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
48.;Shrimpssalat;grüner Salat, Tomaten, Gurken, Essig und Öl;8,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
49.;Kleiner Shrimpssalat;;6,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
50.;PIRÄUS-Salat;grüner Salat, Ei, Tomaten, Gurken, Gouda1, Schinken, Essig und Öl;9,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
51.;Kleiner PIRÄUS-Salat;;5,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
52.;SALONIKI-Salat;grüner Salat, Tomaten, Gurken, Paprika mit Putenfleischstreifen und Joghurt-Dressing;12,00;Salate;Auf Wunsch auch mit Joghurt-Dressing
60.;Omelett;mit Weißem Käse, Pommes frites und Salat;8,00;Omeletts;
61.;Omelett;mit Gyros, Pommes frites und Salat;8,50;Omeletts;
62.;Omelett;mit Shrimps, Pommes frites und Salat;9,50;Omeletts;
63.;Omelett Spezial;mit Spaghetti, Weißem Käse, frischen Champignons und Salat;12,00;Omeletts;
76.;3 Suzuki;in pikanter Metaxa-Sauce mit Käse überbacken;12,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
77.;Gyros mit Weißem Käse;überbacken;11,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
78.;Gyros mit Saganaki;;13,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
79.;Gyros mit Kalamaris;und Cocktail-Sauce;13,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
80.;Gyros;geschnetzeltes Schweinefleisch;10,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
81.;Gyros Spezial;in pikanter Metaxa-Sauce mit Käse überbacken;12,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
82.;Kleines Gyros Spezial;;10,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
83.;Gyros mit Mozzarella;überbacken in pikanter Metaxa-Sauce;12,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
84.;Souvlaki;zwei Schweinefleischspieße;11,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
85.;Zwei Riesen-Fleischspieße;Rinder- und Schweinefilet;20,50;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
86.;Bifteki;Hackfleisch mit Weißem Käse gefüllt;12,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
87.;Suzuki;vier griechische Hackfleischklöße;10,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
88.;Gyros, Suzuki, Leber, Schnitzel, Schweinefilet und Souvlaki;;14,50;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
89.;Leber;mit gebratenen Zwiebeln;11,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
90.;Gyros, Souvlaki;;11,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
91.;Gyros, Suzuki;;11,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
92.;Gyros, Leber;;11,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
93.;Saloniki-Teller;Gyros, Souvlaki, Suzuki, Lammkotelett und Schweinefilet;15,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
94.;Gyros und zwei Lammkoteletts;;13,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
95.;Lammfilet;mit grünen Bohnen und Kräuterbutter;18,50;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
96.;Lammkoteletts;;14,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
97.;Schweinesteak;mit Kräuterbutter;12,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
98.;Steak-Spezial;Rinder-und Schweinesteak mit Kräuterbutter;16,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
99.;Schweinefilet;mit Kräuterbutter;13,50;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
100.;Schweinefilet;gefüllt mit Weißem Käse;15,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
101.;Rumpsteak;mit Kräuterbutter;18,50;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
102.;Rinderfilet;mit Kräuterbutter;21,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
103.;Putenbrustfilet;;13,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
104.;Lammfilet;mit Kräuterbutter, Auberginen und Zucchini;18,50;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
105.;Gyros, Souvlaki, Suzuki;;12,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
106.;Souvlaki, Schweinefilet, 2 Lammkoteletts;;12,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
107.;Schweinefilet, Schweinesteak, Gyros;;12,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
108.;Gyros;mit grünen Bohnen;12,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
109.;Gyros;mit dicken Bohnen;12,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
110.;Gyros, Schweinefilet, Souvlaki;;12,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
111.;Schweineschnitzel;paniert mit zwei Spiegeleier;12,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
112.;Suzuki, 2 Stücke Leber, 2 Schnitzel;;11,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
113.;Chefspieß;gefüllt mit Weißem Käse und Auberginen mit Spezial-Metaxa-Sauce;15,00;Grill-Spezialitäten;gemischter Salat, Reis oder Pommes und Zaziki
114.;Metaxa-Sauce;;2,00;Saucen;
115.;Pfeffer-Sauce;;2,00;Saucen;
116.;Curry-Sauce;;2,00;Saucen;
117.;Scharfe Sauce;;2,00;Saucen;
118.;Gebratene Zwiebeln;;2,00;Saucen;
120.;Suzuki, Schweinesteak, Souvlaki, Gyros, Lammkoteletts, Leber;dicke Bohnen, Reis, Pommes frites, Bauernsalat und Metaxa-Sauce;32,00;Platten für 2 Personen;
121.;Schweinefilets, Souvlaki, Suzuki, Lammkoteletts, Mousaka;mit grünen Bohnen, Reis, Pommes frites, Bauernsalat und Metaxa-Sauce;32,00;Platten für 2 Personen;
122.;Putenbrustfilets, Lammfilets, Schweine-und Rinderfilets;mit grünen Bohnen, Reis, Pommes frites, Bauernsalat und Metaxa-Sauce;40,00;Platten für 2 Personen;
130.;Rumpsteak;mit gedünsteten frischen Champignons und Zwiebeln in Sauce;22,50;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
131.;Lammfilet;mit gedünsteten frischen Champignons und pikanter Sauce;19,50;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
132.;Schweinefilet;mit pikanter Sauce;14,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
134.;Lebergeschnetzeltes;mit pikanter Sauce;12,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
135.;Riganato-Schweinefilet;mit frischen Champignons in Sauce;13,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
136.;Geschnetzeltes vom Schweinefilet;in Senf-Sauce;14,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
137.;Schweinefilet in Metaxa-Sauce;mit frischen Champignons;15,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
138.;Rinderfilet in Metaxa-Sauce;;22,50;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
139.;Rinderfilet in Senf-Sauce;mit frischen Champignons;22,50;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
140.;Putenbrustfilet;paniert, mit Metaxa-Sauce und frischen Champignons;15,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
141.;Bauerngyros;mit Zwiebeln und Paprika aus der Pfanne;12,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
142.;Schweinemedaillons à la Chef;mit Wein-Sauce gedünstet;15,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
143.;Jägerschnitzel;;12,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
144.;Zigeunerschnitzel;;12,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
145.;Rinderfilet in Pfeffersauce;;22,50;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
146.;Rinderfilet mit Folienkartoffel;;22,50;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
147.;Rumpsteak;mit gebratenen Zwiebeln und Folienkartoffel mit Zazik;19,50;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
148.;Putenbrustfilet;in Currysauce paniert, weißer Reis;15,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
149.;Putenbrustfilet;in Rahmsauce8 mit frischen Champignons;16,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
150.;Schweinefilet;in Rahmsauce mit frischen Champignons;15,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
151.;Schnitzel;paniert, nach Wiener Art;9,50;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
160.;Lammfleisch;mit grünen Bohnen;14,00;Gerichte aus dem Backofen;gemischter Salat
161.;Lammfleisch;mit Zwiebeln;14,00;Gerichte aus dem Backofen;gemischter Salat
162.;Lammfleisch;mit großen weißen Bohnen;14,00;Gerichte aus dem Backofen;gemischter Salat
163.;Lammfleisch;mit Auberginen;14,00;Gerichte aus dem Backofen;gemischter Salat
164.;Lammfleisch;mit Bamies;14,00;Gerichte aus dem Backofen;gemischter Salat
165.;Lammfleisch;mit Spaghetti;14,00;Gerichte aus dem Backofen;gemischter Salat
166.;Lammfleisch;mit griechischen Nudeln;14,00;Gerichte aus dem Backofen;gemischter Salat
167.;Lammfleisch;mit Pommes frites;14,00;Gerichte aus dem Backofen;gemischter Salat
168.;Lammhaxe;mit Kartoffeln (nur auf Vorbestellung);15,00;Gerichte aus dem Backofen;gemischter Salat
169.;Mousaka;Auflaufgericht mit Hackfleisch, Auberginen und Kartoffeln;12,00;Gerichte aus dem Backofen;gemischter Salat
180.;Sardinen;gebacken, mit Cocktailsauce;12,00;Fischgerichte;gemischter Salat, Reis oder Pommes
181.;Kalamaris;gebraten, mit Cocktailsauce;13,00;Fischgerichte;gemischter Salat, Reis oder Pommes
182.;Schollenfilet;in Bierteig paniert und gebraten;13,00;Fischgerichte;gemischter Salat, Reis oder Pommes
183.;Forelle;gebraten, mit Cocktailsauce;13,00;Fischgerichte;gemischter Salat, Reis oder Pommes
185.;3 Scampi mit Kalamaris;und pikanter Sauce;15,00;Fischgerichte;gemischter Salat, Reis oder Pommes
186.;Seelachfilet;gebraten, mit pikanter Sauce;14,00;Fischgerichte;gemischter Salat, Reis oder Pommes
187.;Scampi;gebraten, mit Cocktail-Sauce;18,50;Fischgerichte;gemischter Salat, Reis oder Pommes
188.;Scampi-Spieß;gegrillt, mit Knoblauch-Sauce;18,50;Fischgerichte;gemischter Salat, Reis oder Pommes
189.;Kalamaris und Sardinen;mit Cocktail-Sauce;14,00;Fischgerichte;gemischter Salat, Reis oder Pommes
190.;Scampi-Spezial;geschält und gedünstet mit Metaxa-Sauce;17,00;Fischgerichte;gemischter Salat, Reis oder Pommes
191.;Scampi;mit griechischen Nudeln und pikanter Sauce;18,00;Fischgerichte;gemischter Salat, Reis oder Pommes
192.;Fischplatte;Scampi, Kalamaris, Schollenfilet, Sardinen, mit Cocktail-Sauce;18,50;Fischgerichte;gemischter Salat, Reis oder Pommes
200.;Reis;;2,00;Beilagen;
201.;Pommes frites;;2,00;Beilagen;
202.;Kroketten;;3,00;Beilagen;
203.;Bratkartoffeln;;3,50;Beilagen;
204.;Grüne Bohnen;;4,00;Beilagen;
205.;Dicke Bohnen;;4,00;Beilagen;
206.;Kritharaki;;4,00;Beilagen;
207.;Okra;;4,00;Beilagen;
208.;Stifado;;4,00;Beilagen;
209.;Folienkartoffel;mit Zaziki;4,00;Beilagen;
210.;Spaghetti;in Sahne-Sauce und Käse überbacken und Salat;9,50;Nudelgerichte;
211.;Spaghetti;in Sahne-Sauce mit drei Scampi und Salat;14,00;Nudelgerichte;
212.;Spaghetti;mit Metaxa-Sauce und Käse überbacken und Salat;10,00;Nudelgerichte;
213.;Spaghetti;mit Hackfleisch und Käse überbacken und Salat;8,50;Nudelgerichte;
214.;Kritharaki Griechische Nudeln;mit Hackfleisch und Käse überbacken und Salat;8,50;Nudelgerichte;
215.;Suzuki;mit griechischen Nudeln und Salat;6,00;Nudelgerichte;
224.;Spaghetti;mit Hackfleisch;6,00;Nudelgerichte;
227.;Spaghetti;mit Tomaten-Sauce;5,00;Nudelgerichte;
220.;Aladin-Teller;Putenbrustfilet mit Pommes frites und Salat;7,00;Kindergerichte;
221.;Pinocchio-Teller;Schweinefilet, Souvlaki mit Pommes frites und Salat;8,00;Kindergerichte;
222.;Kleiner Gyros-Teller;mit Pommes frites und Salat;7,50;Kindergerichte;
225.;Mousaka;;7,50;Kindergerichte;
226.;Kleines Suzuki;mit Pommes frites;5,00;Kindergerichte;
228.;Gyros-Souvlaki;mit Pommes frites und Salat;8,00;Kindergerichte;
G1;Kräusen;;3,80;Getränke;
G2;Großes Kräusen;;4,50;Getränke;
G3;Starter Kräusen + Größes Kräusen;;8,30;Getränke;
G4;Hefeweizen;;3,80;Getränke;
G5;Alkoholfreies Weizen;;3,80;Getränke;
G6;Alkoholfreies Pils;;3,50;Getränke;
G7;Rotwein;;5,00;Getränke;
G8;Weißwein;;5,00;Getränke;
G9;Apfelschorle;;3,20;Getränke;
G10;Kiba;;3,20;Getränke;
G11;Ouzo;;1,20;Getränke;
G12;Flashe Ouzo;;25,00;Getränke;
G13;Spezi;;2,80;Getränke;
G14;Mineralwasser;;2,00;Getränke;
G15;Cola;;2,80;Getränke;
G16;Fanta;;2,80;Getränke;
G17;Sprite;;2,80;Getränke;
